name,location_id,website
A Casa da Esquina,10742402,http://www.casadaesquina.com.br
Panificadora e Lanchonete Excelência do Pão,10746326,
República de Curitiba - Menu Curitibano,10749712,http://www.republicadecuritiba.tur.br
Dom Camilo,10761541,http://www.facebook.com/Dom-Camilo-RestauranteBuffet-1563106200604894/
The Dog Curitiba,10779610,http://www.facebook.com/thedogcuritiba
Pizzaria Rapidita,10779781,http://www.pizzariarapidita.com.br
Costelaria & Grill Iguaçu,10787922,http://costelariaegrilliguacu.com.br/
Dr. Freeze,10788660,http://www.drfreeze.com.br/lojas
Epoch coffee co,10810454,http://www.facebook.com/epochcoffeeco
Dog Do Keko,10810771,
Cordon Blanc Restaurant,10830309,http://www.cordonblanc.com.br
Dom Oscar Gastronomia,10862697,
Distrito 1340,10954288,http://www.distrito1340.com.br/
Armazem Bio,11208429,https://www.facebook.com/armazembiocuritiba
Mr Hoppy Beer & Burger Trajano,11380067,https://www.facebook.com/mrhoppytrajanoreis/
No Bosque Hamburgueria,11643549,
Boulevard Bistro e Padaria,11644248,
Spedini,11645504,http://www.spedini.com.br/nossas-lojas/
Bom Sabor Restaurante,11656902,
Pizza Prime - Unidade Alto da Rua XV/Juvevê,11658328,http://www.pizzaprime.com.br/cardapio/parana/alto-da-rua-xv.php
Maneki Lamen,11666033,https://www.facebook.com/171809606579802
Rigani,11666556,http://www.rigani.com.br
LoopFood - Sandwiches,11688079,http://www.loopfood.com.br
Shi Wei Xian Restaurante,11708046,https://www.facebook.com/138366283241781
Bertoni Gelateria Alto da XV,11756559,http://www.facebook.com/BertoniGelateriaaltodaxv
O Santo espetinho,11757951,http://www.facebook.com/osantoespetinho/
King Temaki Restaurante Japonês Cabral,11780691,http://www.kingtemaki.com.br
Cafe du Centre,11801019,http://www.cafeducentre.com.br/
Da Mamma Massas,11801588,http://mercadomunicipaldecuritiba.com.br/comerciante/da-mamma-massas/
Pizzaria Dom Diogo,11816453,
Sorella Restaurante Vegetariano,11825536,https://www.facebook.com/sorellaaguaverde/
Restaurante Dona Benta,11837604,https://www.facebook.com/restaurantedonabentacwb/
Maru Asian Cuisine,11840274,http://www.facebook.com/restaurantemaru/
Ducheffe Hot Dog Burger Grill,11841021,http://www.facebook.com/ducheffehotdogburguergrill/
Al Beek Gastronomia Árabe,11850865,https://www.facebook.com/395076817316718
Quitutto GastroPub,11863039,http://pt-br.facebook.com/quituttopizzasesanduberia/
Ca'dore Comida Descomplicada,12064774,http://www.facebook.com/cadorecomidadescomplicada/
Garden HamBargueria,11863966,http://www.facebook.com/gardencwb/
Al Beirut,11869023,http://albeirut.business.site/
Mercearia Cervejeira,11872184,http://merceariacervejeira.com.br/
SnackZack,11877630,https://www.facebook.com/SnackZack--325081464512751/?hc_ref=PAGES_TIMELINE&fref=nf
Saint Germain Batel & Ecoville - Loja Ecoville,11897174,http://www.saintgermainpanificadora.com
Espaço Carmela,11914373,http://www.espacocarmela.com.br/
Fogão & Cia,11923173,
Bistronomia1,11957060,http://www.bistronomia1.com/
Chef Tapioca,11993974,https://www.facebook.com/pg/tapiocariacheftapioca/about/?tab=overview
Tudo Bom,11998270,
Sfiha Grill,14765560,
Restaurante Mãos Mineira,12069781,http://www.facebook.com/M%C3%A3os-mineira-restaurante-236715116690243/
BBQ em casa Smokehouse,12073040,http://www.bbqemcasa.com.br
Brotinho Mania Pizzaria,12074705,http://www.brotinhomania.com.br
Thai wok -  Cozinha Oriental,12094410,http://thaiwok.webnode.com
L'Arte di Gelato,12118512,http://www.lartedigelato.com.br
Botanique,12161149,https://www.facebook.com/botaniquecafebar/
Restaurante Hong Kong,12179059,https://www.facebook.com/653868854660245
La Mafia Trattoria,12233335,https://www.instagram.com/lamafiacuritiba/?igshid=NTc4MTIwNjQ2YQ%3D%3D
Espaço Gaia,12255577,http://www.facebook.com/EspacoGaia2016
Chelsea Burgers & Shakes,12256878,http://www.facebook.com/chelseacuritiba/
Libaneza,12272541,https://www.facebook.com/Libanezacozinha/
Prato Light,12274795,http://www.pratolight.com.br/
We Are Bastards Pub,12290108,http://www.facebook.com/WeAreBastardsPub/
Restaurante Polome,12318378,http://www.facebook.com/polomeveg
Boutique da Cerveja,12352069,http://boutiquedacervejacuritiba.com.br/loja/
Al Dunia,12372223,http://www.facebook.com/alduniarestauranteemporio/
Panificadora Estação de Panini,12384566,http://panificadora-estacao-panini.negocio.site
Green Five,12408065,http://www.greenfivebrasil.com.br/
República do Hambúrguer,12414313,http://www.narepublica.com.br/
Barão Do Sushi,12588321,http://www.baraodosushi.com.br
Porks,13818099,https://www.facebook.com/porksmuseudoolho/
A Caiçara,12422667,http://acaicaracuritiba.com.br/
Sí Restobar,12431156,https://www.facebook.com/si.restobar/
Vó Lídia,12451722,
Ginger Bar-Bistrô,12500661,https://www.facebook.com/1343876748989547
Maçã - Padaria Artesanal Brasileira,12501978,http://www.pagefree.net/maca-padaria-artesanal-brasileira
Redface Brewpub,12506247,http://www.redfacebeer.com.br
Le Ducci Lanches e Confeitaria,12553425,http://www.leducci.com.br
ELTORO Bar de tapas,12556161,http://www.facebook.com/eltorobardetapas/
Sem Culpa,12569491,http://www.facebook.com/semculpafuncional
Casa Visconde DoceD'ocê,12575465,http://www.facebook.com/Casa-Visconde-DoceDoc%C3%AA-237110270123446/
Italy Caffe,12918338,http://www.italycaffe.com.br
Ballon Rouge Pizzaria Sem Glúten,12592463,http://www.ballonrouge.com.br/default.aspx
Del Borgo,12603740,http://delborgo.com/
Paradoja Bar,12608540,https://www.ifood.com.br/delivery/curitiba-pr/paradoja-burger--growler-reboucas/56d9449f-267f-43c8-b4f1-2e1b48ff3391
Cooldown E-Sports n' Burgers,12617866,http://cooldown.com.br
Quintal do Almirante,12635162,https://www.facebook.com/1039726156169770
Bubble Mix Tea - Angeloni Água Verde,12637755,http://bubblemixtea.com
La Pasta Gialla,12638741,http://www.lapastagialla.com.br
Vino,12658281,
Pop Mix salgaderia,13144232,https://www.facebook.com/popmixsalgaderia/
Dom Pablo Pizzaria,25233647,
Pescara,12678328,http://fastget.app/pescara
Nebraska Burguer,12683953,https://www.facebook.com/nebraskaburgersfoodtruck/
La Champagneria,12685155,http://www.facebook.com/lachampagneriacwb
Cafe Sao Miguel,12709889,
Q Restô/Bar,12713105,https://www.facebook.com/qrestoebar/
Minas Mais,12722339,
Le Cacao,12725240,http://www.lecacao.com.br
Supimpa Casual Food,12731552,http://www.facebook.com/supimpacasualfood/
Cabana Montefusco,12806038,http://www.cabanamontefusco.com.br/
True Kitchen Healthy Food,13306913,https://www.facebook.com/truekitchencuritiba/
Restaurante Clavo - Hotel San Juan Executive,12811300,http://sanjuanhoteis.com.br/
GoGo Sushi - Galeria Suissa,12843970,http://www.gogosushi.com.br
Camarao Express,12852905,https://www.camaraoexpressoficial.com.br/
Sals Bar & Gastronomia,12856786,https://www.facebook.com/salsgastronomia/
Fast Green,12874442,https://www.facebook.com/fastgreensalads/
Joker's Pizza Bacacheri,12875750,
Dom Conchiglione Batel,12879757,http://www.domconchiglione.com.br
Dragon Lee,12883875,
Brandi Pizzeria e Forneria,12895475,http://pizzariabrandi.com.br
Wok To You,12895656,https://www.facebook.com/woktoyouestacao/
Beer Box Pub,12895689,https://www.facebook.com/beerboxpub/
Ju-gi Sushibar,12904371,http://www.facebook.com/jugijaponesefood/
L'avion Croissants e Sanduíches,12904678,http://www.lavion.com.br
Bangalô dos Pastéis,14926178,https://www.facebook.com/bangalocuritiba/
Caffè Per Tutti,12920149,https://www.facebook.com/1661338930860598
Habib's,12974029,http://www.habibs.com.br
Frens Burger & Grill,12992752,http://www.frens.com.br
Spartans Food,12998089,http://www.spartansfood.com.br
Madero Burger,13008375,https://www.facebook.com/madero.burger.crystal/
Super Grill,13087378,https://www.facebook.com/supergrillrestaurante/
Alecri Buffet & Eventos,13087953,http://www.alecri.com.br
Domo Café Bistrô,13094266,https://www.facebook.com/DOMO-Cafe-Bistro-1304485046264956/
Jeronimo Shopping Estação,13104814,http://www.jeronimoburger.com.br/
Wiki Maki,13116668,http://wikimaki.com.br/
Street 444 Restaurante,13120482,http://www.street444.com.br/
Bar do Gaúcho,13155650,http://linktr.ee/bardogauchocuritiba
Gastronomia Flamboyant,13202219,https://www.facebook.com/buffet.flamboyant/
Sugoi Japanese Cuisine,13206041,
Annapurna Inn,13221040,https://www.facebook.com/Annapurna-Inn-124821691520372/
Freddo Gelateria - Shop Mueller,13230614,http://www.freddogelateria.com.br/
Queen Sushi,13230644,
Carnivore Steakhouse,13238068,https://www.facebook.com/carnivoreBR/
Al Sultan Bairro Alto,13281093,https://www.alsultan.com.br/
TAKÊ Cozinha Oriental,13286009,
Mais que Chocolate,13289911,http://www.maisquechocolate.com.br
Confeitaria Curitibana,13298307,http://www.confeitariacuritibana.com
Mucha Breja Curitiba,13310185,http://pt-br.facebook.com/muchabrejacuritiba/
Mr. Hoppy Beer,13313935,https://www.facebook.com/Mrhoppyaguaverde/
Fabrica di Chocolate,13320173,https://www.fabricadichocolate.com.br/quiosques/
Tobias Bar E Grastronomia,13349821,https://www.facebook.com/305148096614209
Ponto X,13359634,https://www.facebook.com/SARUlanches/
Restaurante e Café Yutaka,13395631,http://www.facebook.com/pages/Yutaka/174656482665920
Almakan Restaurante,13412874,http://almakan.com.br
Baggio,13426828,http://www.pizzariabaggio.com.br/
Polpettas - Pizzas e Cozinha Italiana,13428032,http://www.polpettas.com.br
The Chef's Burger,13432200,http://thechefsburger.bairroalto.net.br/inicio/
Restaurante Estrela Feliz,13433233,https://www.facebook.com/1484201175216935
New York Cafe - Batel,13455235,https://www.facebook.com/NewYorkCafeCwb/
Orna Café #001,13482974,http://ornacafe.com.br
Dom Da Pizza,13504797,http://www.domdapizza.com.br/a-casa/
Kharina More Than Burger,13510173,http://www.kharina.com.br/
Eat Meat Steak & Burger,13535771,http://pt-br.facebook.com/eatmeatcuritiba/
Costelão Santa Cândida,13544596,
Carbone Pub & Sandwich,13559580,http://carbonepub.business.site/
A Cabana,13570341,http://www.dove-mangiare.com/es/a-cabana-espetinhos-e-hamburgueria_s932765386840995.htm
Vila Yamon,13571148,http://www.vilayamon.com.br
Páprica Vegan,13683621,http://www.facebook.com/papricavegan/
Modadinapoli,13748241,http://modadinapoli.com.br/site/
Restaurante Dom Conchiglione Centro Cívico,13759460,http://www.domconchiglione.com.br
Tche Costela,13789953,https://www.facebook.com/Tch%C3%AA-Costela-1394097204224931/
Tucanos Açaí,13795137,https://tucanos.com.br/
Briele Gelato Italiano,13836026,https://www.facebook.com/pg/brielegelatoitaliano
Top Burguer,13880205,https://www.facebook.com/celiafranbf/
The Coffee,13897821,http://www.thecoffee.jp
Restaurante Dom Vitorassi,13949861,
Yalla Comer,13976210,http://www.facebook.com/YallaComer/
Don Almeida Bar,13976366,https://www.facebook.com/DonAlmeidaBar/
Mr Hoppy Beer,14002673,https://www.facebook.com/mrhoppymerces/
Sushi Yama,14014062,
Kanavial,14019492,https://www.facebook.com/kanavialcuritiba/
A Ostra Bêbada,14021826,http://www.facebook.com/aostrabebadabarecozinha/
Alba Wine Bar,14192392,http://www.facebook.com/alba.winebar/
Pilgrim Kitchen,14053303,http://www.instagram.com/thepilgrimkitchen/
Fábrica Downtown,14059109,https://www.facebook.com/fabricadowntown/
Gas American Food,14084899,http://www.facebook.com/gasamericanfood
Figurate - Focacceria Italiana,14098389,https://www.facebook.com/figuratefocaccia/
Bacio di Latte - Shopping Patio Batel,14114179,http://www.baciodilatte.com.br
Trimiacci,14122091,
Izakaya Kabuki,14149309,http://www.facebook.com/izakayakabuki/
Sina - Fast Casual Burgers,14154834,http://sinafcb.com.br
Janela Bar,14159022,http://www.janelabar.com.br
Brazil Sushi,14175809,https://www.facebook.com/brazilsushicwb/
Mais Açaí,14184784,http://www.facebook.com/maiaacaicuritiba
Tasty Salad Shop,14188717,http://www.facebook.com/tastysaladshop/
Limão Rosa Café,14190543,https://www.facebook.com/1693598660898405
Nomi Japa,14770060,http://www.facebook.com/nomijapa
Au-Au,14790836,https://www.auau.com.br/
Qui Si Mangia Bene,14791302,http://quiforneria.com.br
Pizzaria Kahlua,14798161,http://www.kahluapizzaria.com.br
Armazém do Pepino,14800415,
Churrasco de Igreja,14803376,http://churrascodeigreja.com.br
Casanova Hamburgueria,14815668,
wikimaki Torres,14863658,http://wikimaki.com.br
420 Bar,14904133,http://www.facebook.com/420bartrajano/
O Amazônico,14912921,http://www.oamazonico.com.br
Dom da Pasta,14917983,http://www.facebook.com/domdapasta/
Spedini Trattoria,14933687,http://www.spedini.com.br/nossas-lojas/
Lírio Restaurante,14958095,
Yolo Pizzaria,14958670,https://www.facebook.com/Yolo-Pizza-2069783326675270/
Bistrozinho do David,14970067,http://www.facebook.com/bistrozinhododavid/
Pizzaria Augusta,14977832,http://www.pizzariaaugusta.com.br
Nanu Poke,14989601,https://nanupoke.com.br/
Milk Creamery Batel,14989711,
Mercearia Viana,14989818,http://www.merceariaviana.com.br/
Empório 80,14993423,http://www.emporio80.com.br/
Khea Thai Praça Espanha,15007989,http://www.kheathai.com.br
